toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
4721.01,229210014,PC,4.0086493,9213.7506419,2.468972,2460237.323707,7.2935622,161.1042737,908.6497573,12.8219,4779.0,0.77199,,285.885,92.32577,11.411488
4722.01,142530031,PC,10.8910909,4350.0,3.992,2459219.500661,10.6208,177.179,1016.0,12.9256,6619.0,1.61,4.17,942.214,103.329839,-12.503913
4723.01,322824542,PC,3.6590997,8630.0,2.955,2459226.361286,14.6976,814.239,1488.0,13.0796,6624.0,1.58,4.18,982.931,101.227819,-14.290038
4724.01,119638424,PC,3.572359,1300.0,2.731,2459221.311524,3.43709,495.575,1314.0,11.2567,5730.0,0.92,4.52,225.229,100.907325,-10.584142
4725.01,26587613,PC,2.0763072,16220.0,1.223,2459546.99513,12.6426,243.693,1100.0,12.2651,5805.0,0.95,4.5,367.045,108.008894,15.348909
4003.01,399346877,PC,3.9606593,5810.0,3.442,2459718.824292,10.7218,970.247,1554.0,12.9762,6647.0,1.4,4.29,626.396,26.462243,63.924718
4004.01,397924314,PC,5.3798996,8550.0,2.85,2459882.88297,7.09264,104.667,891.0,12.849,4930.3,0.76,,515.607,22.973494,66.819333
4005.01,395773226,FP,3.8471662,1770.0,2.214,2459008.270987,7.48475,173.747,1011.0,11.7899,5115.0,1.69,3.91,329.268,34.119911,76.253181
4006.01,390048041,FA,3.0491667,6641.051542,4.0262835,2459720.303663,,589.9037165,1256.9414051,12.715,4579.5,,,,23.9436,65.638786
4007.01,389910188,PC,4.5432349,12236.0,3.609,2459901.436833,12.5868,1563.16,1751.0,12.4705,7998.0,1.16,4.6,511.571,23.655685,62.325517
4008.01,379629854,FP,2.8278059,650.0,2.174,2459008.075403,4.22619,885.332,1519.0,10.702,6603.0,1.62,4.16,311.774,34.293884,70.39598
