toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
687.01,74534430,PC,36.2995129,1322.2472746,4.4333923,2459977.554802,2.2115007,3.169782,340.3118696,9.8445,4253.9,0.617519,4.57,42.4467,137.672815,-45.098845
6870.01,58726656,PC,6.6968572,589.0,3.398,2460277.871744,3.89953,323.688,1181.0,10.1341,6466.5,1.8,4.05,320.806,104.11559,20.420768
6871.01,426471754,PC,12.4652143,1127.0,3.635,2460258.271979,2.51956,67.0792,797.0,8.9496,5647.1,0.88,4.55,74.1676,48.936836,18.484536
7098.01,313922260,PC,1.3821651,9250.0,2.435,2460420.866667,17.6176,7314.38,2576.0,13.1922,7662.0,1.94,4.12,1601.2,345.383265,53.968241
7099.01,430415564,PC,4.4264918,3584.0,6.059,2460570.432916,14.8697,2497.57,1969.0,12.9147,6231.0,2.46,3.74,1365.41,332.624758,48.097061
7100.01,325765282,PC,7.4156006,12272.0,2.76,2460418.422197,16.1132,149.56,974.0,13.1187,6446.0,1.5,4.21,849.58,331.096689,53.465187
7101.01,444209952,PC,1.8471592,6589.0,1.958,2460422.426526,,,,12.308,,,,249.393,352.301058,54.971076
7102.01,469523613,PC,1.1838059,4487.0,1.307,2460422.721923,11.623,2638.6,1996.0,13.3122,7433.0,1.68,4.22,1086.14,318.005196,59.03141
7103.01,197604890,PC,5.3590843,3018.0,2.477,2460565.253325,4.36817,101.96,885.0,11.0011,4845.0,0.81,4.52,126.595,336.730483,49.149727
7105.01,417564823,PC,17.0548288,5295.0,4.555,2460421.980929,9.80945,55.0578,758.0,13.3592,5769.0,1.38,4.17,587.476,317.532978,61.039287
7106.01,66545173,PC,2.7945508,8242.0,2.978,2460568.642831,13.7026,1289.93,1669.0,13.3622,6345.0,1.56,4.15,1072.23,341.503021,52.134649
