tid,pl_orbper,label,pl_trandep,pl_tranmid
25375553,2.3109689,planet,6829.4236495,2460155.87081
293954617,7.4341456,planet,701.0,2460549.311109
375506058,2.650232,planet,6449.0,2460554.58625
410528770,2.7536237,false_positive,1460.0,2459847.780759
428065977,1.6534102,false_positive,600.0,2459881.652761
326114850,1.2456423,false_positive,691.0,2460406.048311
331034236,3.4272549,false_positive,569.4677099,2459826.907985
64836837,10.9115374,false_positive,1039.0,2460423.070964
430677414,0.46741,false_positive,1592.12,2458738.93048
415741431,2.1575124,false_positive,550.0,2459878.866866
272828463,1.577609,false_positive,1055.0,2460423.100949
382302241,1.59782,false_positive,1713.69,2458326.05013
377739433,1.23852,false_positive,440.0,2458764.82522
376682699,1.1025238,false_positive,2919.0,2460422.249162
434718964,1.597226,false_positive,3834.1260621,2459854.931268
269509393,1.76589,false_positive,730.0,2458764.84417
270238522,1.36991,false_positive,1170.0,2458765.47636
470709084,3.66505,false_positive,910.0,2458768.56858
376637093,2.0560153,planet,17453.0,2460449.201388
455962313,2.25505,false_positive,658.0,2460418.994282
427761355,1.902606,planet,8984.9897271,2459854.41458
272049972,1.0960111,false_positive,2150.0,2458981.242084
191284318,2.7759678,planet,13613.0,2460610.063622
16920150,9.155934,false_positive,908.2412562,2458765.545981
355636844,6.30556,false_positive,860.0,2459080.90325
17005768,6.8424983,false_positive,8029.880305,2458765.265116
188768068,2.1779407,planet,110.0,2460338.523071
190998418,2.8791023,planet,11426.6170088,2459856.144266
236887394,1.4200248,planet,23730.0,2459717.423096
240968774,5.9711357,planet,1437.1086027,2458766.989118
243185500,15.5324385,planet,2937.4953214,2459450.356025
283722336,3.0929386,planet,254.2319025,2460606.251961
220435095,3.4231002,false_positive,8643.1016455,2460185.36556
284441182,2.5272822,planet,1847.4872236,2459883.443614
306263608,20.7724316,planet,1415.0,2460221.503439
306955329,6.3634106,planet,2368.6952027,2459885.568784
352413427,5.2544884,planet,567.0,2460608.852345
427654774,5.222621,false_positive,15867.9920175,2458765.042474
432549364,1.2174936,planet,6969.0,2460610.036941
240681314,2.7324809,planet,9548.2806012,2459855.931978
409794137,10.1802014,planet,11500.0,2459982.236347
421308357,16.6828999,false_positive,2054.0,2460319.940069
393940766,4.8670758,planet,4965.8114653,2459062.261122
335483600,3.354053,false_positive,6389.1712796,2459855.711367
197650870,2.1853174,false_positive,1168.0,2460422.845579
452803785,5.0037857,false_positive,1950.0,2459844.552858
67309890,1.1623941,false_positive,1099.0,2460422.616427
377191482,2.9551881,false_positive,230.0,2459673.206852
233541860,0.2666485,false_positive,230.0,2459635.536646
459978312,23.28798,false_positive,120.0,2458684.88739
198457103,0.4721054,false_positive,45.2185132,2458683.442832
219751469,6.98301,false_positive,270.0,2458690.04921
354594208,0.86673,false_positive,662.925,2458765.22813
15692883,5.147905,planet,3710.0,2460602.632371
411608801,5.0267996,planet,6358.0060702,2459856.416547
431148743,2.6277641,false_positive,490.0,2459879.808473
384045439,10.82661,false_positive,5890.0,2458743.87066
371673488,0.8165295,false_positive,468.0,2460422.205821
316402246,1.4014167,false_positive,2730.0,2459836.924148
414870287,4.95898,false_positive,230.232,2458740.8589
271893367,5.8574075,planet,6489.7302346,2459995.645628
377420580,1.4147363,false_positive,990.0,2460422.256983
329145325,1.077774,false_positive,2680.0,2459882.024875
140691463,2.0845434,planet,12504.825019,2458543.338324
285674856,1.74626,false_positive,1110.0,2458790.81038
285677945,1.2427,false_positive,663.745,2458791.56106
292321872,8.66698,false_positive,9854.3,2458794.15217
302773669,21.216464,planet,6499.0,2460463.952965
316254876,2.4611008,false_positive,1795.0,2459935.126364
327011842,0.783879,false_positive,274.5156373,2459883.106456
332154944,0.99837,false_positive,2730.0,2458791.36882
348135793,1.97741,false_positive,5470.0,2458791.58678
354400186,9.07768,false_positive,19171.9,2458794.28172
403136413,2.51266,false_positive,2790.01,2458326.37811
354469661,4.7947749,planet,6864.0,2460633.665722
374400599,1.8932775,false_positive,3415.0,2460649.11744
403256331,3.77188,false_positive,450.0,2458765.82123
418987806,0.88654,false_positive,870.0,2460633.085787
